circuit,events_per_lot,n,prove_time_s_mean,prove_time_s_ci95_low,prove_time_s_ci95_high,verify_time_ms_mean,verify_time_ms_ci95_low,verify_time_ms_ci95_high,proof_size_bytes_mean,proof_size_bytes_ci95_low,proof_size_bytes_ci95_high,peak_ram_gb_mean,peak_ram_gb_ci95_low,peak_ram_gb_ci95_high
c2_poseidon2_merkle_depth16,8,30,0.0104091332,0.010305272164166665,0.01052556221,11.4537223,10.268169940833333,13.743546638333335,275501.6666666667,275420.765,275582.16750000004,0.008888244566666667,0.008680216464166666,0.009069824167499999
c2_poseidon2_merkle_depth16,16,30,0.010507197166666668,0.010380302675833336,0.010641342675000002,10.475476233333334,10.373420151666666,10.582822149999998,275635.43333333335,275561.9325,275707.63333333336,0.009561157466666666,0.009553528066666667,0.009567260999999999
c2_poseidon2_merkle_depth16,32,30,0.010253977766666667,0.010169697114166666,0.010347805951666665,10.297816633333333,10.197765533333333,10.4141875475,275680.4,275614.83166666667,275746.3675,0.00970357226666667,0.0096867876,0.009718831000000002
c2_poseidon2_merkle_depth16,64,30,0.012912154066666666,0.010710180260833334,0.016945789473333334,11.204859699999998,10.406486945833334,12.722128001666668,275652.3333333333,275586.6666666667,275715.805,0.009790039399999999,0.009784953066666664,0.009794108466666665
c3_threshold_time,8,30,0.0011285667000000001,0.0011173607583333334,0.001140574015,0.5325638333333333,0.5265139625,0.5423727491666667,11090.266666666666,11079.833333333334,11100.233333333334,0.008903503400000002,0.0087086995,0.009075927733333333
c3_threshold_time,16,30,0.0020800833333333335,0.002059581545833334,0.00210348014,0.6075555333333333,0.5987553291666665,0.6185653341666666,13425.466666666667,13416.266666666666,13435.034166666666,0.009563700599999999,0.009558105700000001,0.009567260999999999
c3_threshold_time,32,30,0.0039642236666666665,0.003932863926666666,0.003998554549166667,0.6721945333333335,0.6677626283333334,0.6771863683333335,16082.433333333332,16072.7,16092.133333333333,0.009707132600000003,0.009692891066666666,0.009720356933333335
c3_threshold_time,64,30,0.007918758266666666,0.0078305578325,0.008026419501666666,0.7732111333333332,0.7637666291666666,0.7840599116666667,19039.133333333335,19025.465833333335,19051.233333333334,0.009791565299999997,0.009788513499999997,0.009794108466666665
c4_poseidon2_actor_authorization,8,30,0.00039715146666666657,0.00039271803249999994,0.0004024250033333333,0.4362986333333333,0.4227138675,0.4592783216666666,11695.366666666667,11678.966666666667,11712.733333333334,0.008913675933333332,0.008727518731666667,0.009079488035000001
c4_poseidon2_actor_authorization,16,30,0.00039828756666666665,0.0003913306325,0.0004062057833333334,0.43512779999999995,0.4257831333333333,0.4461183083333332,11694.933333333332,11679.965833333334,11709.866666666667,0.009563700599999999,0.009558105700000001,0.009567260999999999
c4_poseidon2_actor_authorization,32,30,0.00040089739999999997,0.00039129431499999997,0.0004133452208333333,0.4240221666666667,0.42056383249999996,0.42857366999999996,11696.133333333333,11679.8,11711.2675,0.009707132600000003,0.009692891066666666,0.009720356933333335
c4_poseidon2_actor_authorization,64,30,0.0004128596333333333,0.0003990942933333334,0.0004300693025,0.4365556,0.4282152333333334,0.4465902725,11703.633333333333,11688.533333333333,11718.966666666667,0.009791565299999997,0.009788513499999997,0.009794108466666665
c5_poseidon2_nullifier_empty_leaf,8,30,0.010434625133333335,0.010320716844166666,0.010557267431666663,10.378169399999997,10.292175476666666,10.469372378333333,276172.6666666667,276097.065,276249.8675,0.008957926400000002,0.008787015219999998,0.009114087445833332
c5_poseidon2_nullifier_empty_leaf,16,30,0.010552534733333336,0.010423084207499997,0.010687154060833334,10.478470733333332,10.376101351666664,10.583594774166666,276199.6666666667,276117.23083333333,276283.0366666667,0.009563700599999999,0.009558105700000001,0.009567260999999999
c5_poseidon2_nullifier_empty_leaf,32,30,0.010548012499999999,0.010224975575833337,0.011085801419166666,10.343865200000002,10.174087949999999,10.616708925833334,276238.0,276146.7975,276326.235,0.009709167133333335,0.009695434198333332,0.009721882733333334
c5_poseidon2_nullifier_empty_leaf,64,30,0.010609157033333334,0.010475100239166667,0.010749719971666665,11.223298533333336,10.413188267499999,12.746658597500002,276188.8333333333,276096.32499999995,276275.6691666667,0.00979207393333333,0.00978902213333333,0.009794617099999996
